,Item Name,price
0,Sponge Gourd 1 kg,64.38594831
1,Baby corn cleaned 1 kg,190.5525477
2,Baby corn 1 kg,42.04326461
3,Chilakarive green 1 kg,43.19036724
4,Chakota greens 1 kg,64.19542024
5,Eggs for 1,8.302461153
6,Arive greens 1 kg,61.40827825
7,knol-khol 1 kg,54.95254992
8,Chikadi kai 1 kg,82.17276877
9,Garlic cleaned 60Kg,280.6522372
11,Ginger 1 kg,81.39438557
12,Ground nut Local 1 kg,130.2936401
13,Double Beans 1 kg,140.9620884
14,Double Beans seeds 1 kg,269.0342296
15,Drumstik 1 kg,141.2628978
16,Cauliflower per Kg,74.30814917
17,Cauliflower(M) 1 kg,49.36119343
18,Mushroom Button 1 kg,384.8199635
19,Grapes Dry 250gm,165.1562294
20,Grapes Red globe 1 kg,637.0213698
21,Lime Local 1 kg,159.243344
22,Little gourd 1 kg,43.39975564
23,Ladys finger 1 kg,79.45464249
24,Herali kai 1 kg,112.3953195
25,Grapes T.S. 1 kg,166.0461408
26,Avarekai (Field Beans ) 1 kg,83.45794654
27,Banana cooking R.Banana 1 kg,83.56559403
28,Jukani 1 kg,219.6446049
29,Sham gadde 1 kg,94.98104264
30,Snake Gourd(S) 1 kg,44.106515
31,Snake Gourd 1 kg,54.81259257
32,Raddish Red 1 kg,79.17239487
33,Raddish 1 kg,46.53667526
34,Sweet Potato(Genasu) 1 kg,61.71441819
35,Potato(B) 1 kg,40.86366159
36,Potato(M) 1 kg,50.6884242
37,Pumpkin Japan 1 kg,32.91439807
38,Pumpkin Red 1 kg,26.12334044
40,Orange malt 1 kg,93.09618743
41,Grapes Blore blue 1 kg,75.5299428
42,Guava Allahabad(Red) 1 kg,122.1475116
43,Guava 1 kg,91.50665136
44,Chicco(Sapota) 1 kg,70.30710248
45,Custerd Apple 1 kg,68.21859393
46,Chicco(Sapota) rapined 1 kg,79.14812383
47,Banana Rasabale 1 kg,80.56442375
48,Banana Nendra 1 kg,98.94429815
49,Banana chandra 1 kg,101.9668476
50,Banana Yellaki 1 kg,101.809411
51,Banana pachabale 1 kg,42.60716304
52,Apple Green smith 1 kg ,441.2667983
53,Apple Fuji chaina 1 kg,365.876363
54,Apple Newzeland 1 kg,376.5975608
55,Apple Washington 1 kg,391.1957685
56,Apple Economy 1 kg,200.8663662
57,Apple Delicious 1 kg,234.6991322
58,Palak Greens 100g,68.97158122
59,Menthya Greens 100g,107.4804314
60,Mint Leaves 100g,73.39444491
61,G.nut oil Rice Bron 1 lt,175.2820898
62,G.nut oil Premium1 lt,206.6145319
63,Ground nut oil 1 lt,199.7611413
64,G.oil Net rich 500 ml,98.42574644
66,Tender Coconut(S) 1 kg,32.58342972
67,Pista 100g,224.9155487
69,Tamarind seedless 1 kg,246.6269211
70,Straw Berry 1 kg,182.1629427
71,Litchi Local 1 kg,417.8772467
72,Kiwi fruit 1 kg,657.0418982
73,Grapes Krishna sharad 1 kg,186.7678915
74,Grapes Flame 1 kg,132.8925347
75,Grapes Sonika 1 kg,173.2971859
76,Grapes Sharad 1 kg,175.5274881
77,Grapes Dilkush 1 kg,107.5232983
78,GrapesAnabi shahi  1 kg,35.72415257
79,Hesaru kalu 100g,178.1523782
80,Molake kalu 100g,144.6612322
81,Greens Sabbakki 1 kg,97.11134778
83,Spring Onion(Cleaned) 1 kg,109.5495066
84,Spring Onion 1 kg,105.8351062
87,Jam 100 gm,33.74853442
88,Jam 200 gm,56.23470548
89,Jam 1/2 kg,123.7399112
90,Jam 1 kg,168.5848428
91,Coconut oil 500 ml,159.4187701
93,Pepper 100g,157.4462761
94,Sungold oil 5 lt packet,899.6424649
95,Sun safal Tin 15 lt,1065.898593
96,Safal deep 500 ml,84.05360732
97,Ground nut oil 5 lt,1268.957572
98,Sungold oil 5 lt,964.0090323
99,Rice Bran 5 lt,902.682537
100,Tamarind Paste 150 gm,78.02347699
101,Indian red globe 500g,269.7318512
102,Peas seeds 100g,385.3481532
103,Anjura/Fig 1 kg,146.021246
104,Butter fruit 1 kg,174.7770492
105,Bore fruit 1 kg,45.83857258
106,S.mellon Local (Luck) 1 kg,74.97789891
107,Chilles small cleaned (C.B.P) 1 kg,125.599173
108,Times Rose berry 1 kg,275.3366873
109,Chikkadikai cleaned 1 kg,95.63869636
114,Mosambi 1 kg,115.618323
115,S.mellon namdhari 1 kg,43.63113071
116,Watermellon kiran 1 kg,37.77362054
117,Watermellon 1 kg,31.61787031
118,Tamarind sweet 500gm,231.9259285
119,Rose apple 1 kg,306.5619571
120,Plum Australia 1 kg,671.8870405
121,Pineapple 1 kg,81.77885875
122,Papaya sola 1 kg,75.28139562
123,Papaya Red lady 1 kg,45.62754447
124,Papaya Taiwan 1 kg,43.66133433
125,Papaya nati 1 kg,28.86466917
126,Pomegranate A.raktha 1 kg,192.9198584
127,Pomegranate Bhagav 1 kg,283.8778932
128,Dhantu greens 100g,69.46994399
129,Curry leave 100g,107.5031763
130,Corriander Leave 100g,79.52612937
131,Kakadi 1 kg,98.98207321
132,Pickles mixed veg 100g,112.4462322
133,mango Pickles 100g,134.9528671
134,Lime Pickles 100g,146.1318228
135,Pickles 100g,123.6870109
136,Rice Bran 15 lt Tin,1794.629637
137,G. nut sungold 1 lt,189.0007222
138,G. nut Golden oil 1 lt,249.1384952
139,G. nut oil safal deep1 lt,164.8635293
142,Parsley 1 kg,351.0312075
143,Leeks 1 kg,282.5071382
144,Selari 1 kg,233.9771175
145,Chikkadikai Round 1 kg,70.10248738
146,Mineral water 1 lt,33.73910952
147,Net rich 5 lt oil,663.555565
148,Byladha Hannu 1 kg,61.24646857
149,Maize 1 kg,34.25250951
150,Y.Bananan T.N. 1 kg,322.9876595
151,Chain Berry 1 kg,236.8486414
152,Letteus Greens 1 kg,243.5521695
153,Basale Greens 1 kg,70.69289041
154,BaleDindu (Banana stem) 1 kg,44.83636476
155,Batani kalu 1 kg,443.9839263
156,Sweet corn 1 kg,70.33572192
157,Orange Australia 1 kg,252.0803995
158,Orange Nagpura 1 kg,124.9694229
159,Cluster Bean Local 1 kg,61.98646476
160,Mangalore cucumber 1 kg,38.26227308
161,Cucumber Israle 1 kg,70.20000458
162,Cucumber Nati 1 kg,68.72028907
163,Cucumber 1 kg,39.32485028
164,Chow-Chow 1 kg,51.82489396
165,Bottle Gourd 1 kg,45.33967154
166,Dry fruit mixed 250g,191.1359815
167,Dry dates 250g,234.3546923
168,Peas Delhi 1 kg,114.2643816
169,Peas local 1 kg,282.2794019
170,Onion samber 1 kg,108.6536119
171,Onion small(Economy) 1 kg,21.99199084
172,Jack fruit 1 kg,33.52808551
173,Onion Big 1 kg,55.8754603
174,Onion medium 1 kg,51.58788079
175,Mushroom Oyster 1 kg,225.6438406
176,Brucoli 1 kg,370.8178773
177,Avare seed (FB seeds) 1 kg,197.3395204
178,Avarebele (F. Beans spok) 1 kg,354.4102942
179,Bale hoovu(B.flower) 1 kg,42.0822907
180,Sweet corn seeds 1 kg,105.9919954
181,Kashini (Ganike) Greens 1 kg,17.23474295
182,Gulkan 1/4 kg,67.45651182
183,Gulkan 1/2 kg,89.97878731
184,Gulkan 1 kg,179.8745296
185,Honney 100 gm,65.2251882
186,Honney 200 gm,121.4195513
187,Honney 1 Kg,431.9552277
188,Honney 1/2,236.1381982
189,Copra 1 kg,237.758521
190,Cauliflower(B) 1 kg,60.17811542
191,Cabbage chaina 1 kg,104.2448753
192,Cabbage Red 1 kg,117.178226
193,Cabbage 1 kg,35.749215
194,Coconut (OS) 1 kg,23.05109591
195,Coconut (S) 1 kg,29.86397241
196,Coconut (M) 1 kg,37.82000253
197,Coconut (B) 1 kg,43.58854818
198,Cowpea Long 1 kg,90.19206414
199,Carrot Nati 1 kg,77.08993518
200,Carrot Delhi 1 kg,59.0557711
201,Chillies small (C.B.P) 1 kg,121.8507966
202,Chillies Cleaned 1 kg,70.33637593
203,Chillies Bajji 1 kg,67.69881648
204,Chillies Green 1 kg,71.70539299
205,Capsicum Red/Yellow 1 kg,202.0116583
206,Capsicum 1 kg,76.47614884
207,Mango Raw 1 kg,85.85554404
208,Thogari kai 1 kg,66.65938247
209,Tomoto 1 kg,38.15484783
210,Bitter Gourd 1 kg,61.44573371
211,Yam/S.Root 1 kg,75.23555121
212,Beet Root 1 kg,52.65695268
213,Brinjal Bottle 1 kg,68.69719124
214,Brinjal (R) 1 kg,46.67838778
215,Brinjal (W) 1 kg,61.73565395
216,Beans cleaned 1 kg,86.26906994
217,Beans 1 kg,84.0160208
218,Amla 1 kg,112.4732994
219,N.Juice 200 ml,33.73398988
223,G. nut oil Rice 1 lt,135.4521996
224,Onion flowers 1 kg,43.80951709
225,Pomegranate Ganesh 1 kg,150.0602668
226,Grapesh Tash ganesh 1 kg,135.2512682
227,Peas Dharwad 1 kg,17.8462262
228,Papaya red indian 1 kg,46.8678417
229,Peas Ooty 1 kg,156.3938247
230,Grapes Crimson 1 kg,61.71493318
231,Indian Black globe Grapes 1 kg,183.6465841
232,Nagapur Orange Economy 1 kg,12.28643353
233,Mango thotapuri 1 kg,67.49765634
234,Mango Sendura 1 kg,59.49208775
235,S.mellon namdhari (Red) 1 kg,44.65921116
236,Cucumber white 1 kg,43.99389271
237,Mango Alphans 1 kg,91.83490653
238,Mango Raw Amblet 1 kg,69.04333949
239,Mango Badami 1 kg,85.84258779
240,Mango Raspuri 1 kg,66.59952516
241,South Af.red berry 1 kg,464.3869285
242,Apple Chilli 1 kg,187.9539965
243,Carrot ooty 1 kg,90.74687572
244,Mango Bygan palli 1 kg,63.16967957
245,Mango malagova 1 kg,100.8048389
246,Cluster Beans Bunches 1 kg,32.4664331
247,Mango mallika 1 kg,92.92490436
248,Mango Dasheri 1 kg,80.98602581
249,Mango kalapadu 1 kg,58.606772
250,Litchi Taiwan/chaina 1 kg,465.6688215
251,Mango sakkaregutti 1 kg,51.37646843
252,Rumenia Mango 1 kg,93.44178429
253,Apple Chaina Delicious 1 kg,333.3990097
254,Mango Amarpalli 1 kg,51.31180938
255,Mango Kesar 1 kg,51.43578831
256,Mango 1 kg,29.57402644
257,Jambo fruit(Nerale) 1 kg,356.8219233
258,Mango Neelam 1 kg,59.42417091
259,Grapes Rose 1 kg,89.7558495
260,Berry fruit Ooty 1 kg,33.54017819
261,Plum Ooty 1 kg,227.0946201
262,Orange 1 kg,76.85056314
263,Beans Fruit 1 kg,88.24140639
264,Apple hazarath palli 1 kg,194.829049
265,Peaches 1 kg,326.2800577
266,Komark fruit 1 kg,48.61167881
267,Sweet corn seeds spok 1 kg,62.95206488
268,Berry Golden 1 kg,361.5218371
269,Apple Simla 1 kg,154.3163082
270,Ginger New 1 kg,105.3438018
271,Cherry Tomoto 1 kg,153.4032702
272,Tamrind Chatisghar 1 kg,130.943539
273,Tender Coconut 1 kg,42.1644122
274,Mango rathnagiri(red) 1 kg,41.08004204
275,Berry Southafrica 1 kg,266.2774519
276,Mango Alphans box 1 kg,146.7736496
277,Bread fruit 1 kg,92.32041851
278,Apple Australia 1 kg,237.5404081
279,Potato Baby 1 kg,66.00741751
280,Orange South Africa 1 kg,187.2247819
281,Apple Golden delicious 1 kg,120.214804
282,Washington gala apple 1 kg,201.7108616
283,Pomello/Chakotha 1 kg,50.78744307
284,South Africa Gala apple 1 kg,59.82281756
285,Berry Soft 1 kg,263.7050195
286,Berry Green 1 kg,283.1730857
287,Washington red apple 1 kg,159.3168262
288,Dry apricot 1 kg,25.25170398
289,Berry ball 1 kg,116.141166
290,Cherry kashmir 1 kg,628.5541603
291,Sweet corn cleaned 1 kg,157.7155418
292,Tamarind Paste 450 gm,206.6700316
293,Cucumber Ooty 1 kg,267.1899015
294,Mosambi polo 1 kg,39.12438854
295,Beans Nati 1 kg,35.47721611
296,Orange Ooty 1 kg,96.71950932
297,Mango Langada 1 kg,72.7251838
298,Beans Ring 1 kg,29.73400048
299,Cherry fruit 1 kg,139.5889437
300,Chillies Bajji yagani 1 kg,64.58104503
301,Tender Coconut(M) 1 kg,34.2251588
